_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
185,2019,2,İstanbul Üniversitesi,20,SİLİVRİ,1
186,2019,2,Bolu Abant İzzet Baysal Üniversitesi,23,ÇEKMEKÖY,2
187,2020,1,Gebze Teknik Üniversitesi,20,GAZİOSMANPAŞA,2
188,2020,1,Trakya Üniversitesi,19,GÜNGÖREN,2
189,2019,2,Eskişehir Teknik Üniversitesi,21,SULTANGAZİ,1
190,2020,1,Giresun Üniversitesi,22,SULTANBEYLİ,1
191,2019,2,Kırıkkale Üniversitesi,19,BAĞCILAR,1
192,2020,1,Karadeniz Teknik Üniversitesi,22,AVCILAR,2
193,2020,1,Hacettepe Üniversitesi,20,BEYLİKDÜZÜ,1
194,2019,2,İstanbul Üniversitesi,23,MALTEPE,3
195,2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,SULTANGAZİ,1
196,2019,2,Sağlık Bilimleri Üniversitesi,24,MALTEPE,2
197,2019,1,İstanbul Arel Üniversitesi,23,ATAŞEHİR,1
198,2019,1,İstanbul Yeni Yüzyıl Üniversitesi,21,KÜÇÜKÇEKMECE,1
199,2019,1,Kocaeli Üniversitesi,23,BAHÇELİEVLER,2
200,2019,2,Akdeniz Üniversitesi,25,ARNAVUTKÖY,1
201,2020,1,Çanakkale Onsekiz Mart Üniversitesi,22,FATİH,1
202,2020,1,Marmara Üniversitesi,22,AVCILAR,9
203,2020,1,Tekirdağ Namık Kemal,23,PENDİK,3
204,2020,1,Yalova Üniversitesi,22,KAĞITHANE,1
205,2020,1,Harran Üniversitesi,20,ESENYURT,1
206,2019,2,Zonguldak Bülent Ecevit Üniversitesi,22,KAĞITHANE,2
207,2019,2,Yeditepe Üniversitesi,23,ÜMRANİYE,1
208,2019,1,Tekirdağ Namık Kemal,22,ZEYTİNBURNU,4
209,2020,1,Giresun Üniversitesi,18,BEYKOZ,1
210,2020,1,Tekirdağ Namık Kemal,18,SİLİVRİ,1
211,2019,1,Çankırı Karatekin Üniversitesi,19,FATİH,1
212,2019,2,Karabük Üniversitesi,20,PENDİK,3
213,2020,1,Tekirdağ Namık Kemal,19,KÜÇÜKÇEKMECE,10
214,2019,2,İstanbul Medipol Üniversitesi,21,AVCILAR,1
215,2019,2,Niğde Ömer Halisdemir,19,BAYRAMPAŞA,1
216,2020,1,Dokuz Eylül Üniversitesi,21,BAĞCILAR,6
217,2019,2,İstanbul Ayvansaray Üniversitesi,21,ATAŞEHİR,1
218,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,23,KÜÇÜKÇEKMECE,1
219,2019,1,Balıkesir Üniversitesi,20,ARNAVUTKÖY,1
220,2020,1,Akdeniz Üniversitesi,19,ESENYURT,2
221,2020,1,Sağlık Bilimleri Üniversitesi,22,ÇEKMEKÖY,2
222,2020,1,Çanakkale Onsekiz Mart Üniversitesi,19,ÇEKMEKÖY,1
223,2019,2,Yeditepe Üniversitesi,22,BEŞİKTAŞ,1
224,2020,1,Tekirdağ Namık Kemal,18,KARTAL,2
225,2020,1,İstanbul Medipol Üniversitesi,20,ATAŞEHİR,5
226,2019,2,Düzce Üniversitesi,21,MALTEPE,3
227,2019,2,Dokuz Eylül Üniversitesi,23,PENDİK,3
228,2019,2,Boğaziçi Üniversitesi,20,TUZLA,1
229,2020,1,Sakarya Uygulamalı Bilimler Üniversitesi,22,ESENLER,1
230,2019,1,Yıldız Teknik Üniversitesi,23,BAYRAMPAŞA,2
231,2020,1,Aydın Adnan Menderes,22,BAĞCILAR,2
232,2020,1,İstanbul Bilgi Üniversitesi,20,ŞİŞLİ,3
233,2020,1,İstanbul Üniversitesi,21,GÜNGÖREN,29
234,2020,1,Hacettepe Üniversitesi,18,BAĞCILAR,1
235,2020,1,Karadeniz Teknik Üniversitesi,20,ZEYTİNBURNU,2
236,2020,1,Yıldız Teknik Üniversitesi,18,ÇEKMEKÖY,1
237,2020,1,İstanbul Esenyurt Üniversitesi,18,ESENYURT,1
238,2019,1,Marmara Üniversitesi,21,MALTEPE,14
239,2020,1,Nişantaşı Üniversitesi,24,ESENLER,1
240,2019,1,Alanya Alaaddin Keykubat Üniversitesi,20,PENDİK,1
241,2019,2,Kocaeli Üniversitesi,24,PENDİK,3
242,2020,1,İzmir Katip Çelebi Üniversitesi,19,ESENYURT,1
243,2019,1,Çanakkale Onsekiz Mart Üniversitesi,21,ESENYURT,2
244,2020,1,İstanbul Gelişim Üniversitesi,20,EYÜPSULTAN,2
245,2020,1,Beykoz Üniversitesi,19,TUZLA,1
246,2020,1,Bolu Abant İzzet Baysal Üniversitesi,21,EYÜPSULTAN,1
247,2020,1,Anadolu Üniversitesi,22,PENDİK,2
248,2020,1,Fırat Üniversitesi,18,SULTANGAZİ,1
249,2020,1,Yıldız Teknik Üniversitesi,22,AVCILAR,9
